date,state,rate
201510,Washington,5.3
201510,West Virginia,5.6
201510,Wisconsin,3.9
201510,Wyoming,3.9
201511,Alabama,5.7
201511,Alaska,6.5
201511,Arizona,5.6
201511,Arkansas,4.3
201511,California,5.8
201511,Colorado,3.3
201511,Connecticut,5.0
201511,Delaware,4.3
201511,District of Columbia,6.6
201511,Florida,5.0
201511,Georgia,5.2
201511,Hawaii,3.3
201511,Idaho,3.9
201511,Illinois,5.8
201511,Indiana,4.5
201511,Iowa,3.1
201511,Kansas,3.6
201511,Kentucky,5.3
201511,Louisiana,5.4
201511,Maine,3.9
201511,Maryland,4.8
201511,Massachusetts,4.5
201511,Michigan,4.2
201511,Minnesota,3.1
201511,Mississippi,6.2
201511,Missouri,3.9
201511,Montana,4.1
201511,Nebraska,2.5
201511,Nevada,6.2
201511,New Hampshire,3.0
201511,New Jersey,4.5
201511,New Mexico,6.3
201511,New York,4.8
201511,North Carolina,5.4
201511,North Dakota,2.3
201511,Ohio,4.5
201511,Oklahoma,4.1
201511,Oregon,5.3
201511,Pennsylvania,4.4
201511,Rhode Island,5.2
201511,South Carolina,5.3
201511,South Dakota,2.8
201511,Tennessee,5.3
201511,Texas,4.4
201511,Utah,3.0
201511,Vermont,3.4
201511,Virginia,3.9
201511,Washington,5.7
201511,West Virginia,5.7
201511,Wisconsin,4.2
201511,Wyoming,4.4
201512,Alabama,5.9
201512,Alaska,6.7
201512,Arizona,5.5
201512,Arkansas,4.6
201512,California,5.7
201512,Colorado,3.3
201512,Connecticut,4.9
201512,Delaware,4.3
201512,District of Columbia,6.3
201512,Florida,4.8
201512,Georgia,5.1
201512,Hawaii,2.9
201512,Idaho,3.9
201512,Illinois,6.0
201512,Indiana,4.5
201512,Iowa,3.6
201512,Kansas,3.6
201512,Kentucky,5.5
201512,Louisiana,5.0
201512,Maine,3.9
201512,Maryland,4.7
201512,Massachusetts,4.6
201512,Michigan,4.5
201512,Minnesota,3.7
201512,Mississippi,7.1
201512,Missouri,3.9
201512,Montana,4.3
201512,Nebraska,2.9
201512,Nevada,6.1
201512,New Hampshire,2.9
201512,New Jersey,4.3
201512,New Mexico,6.2
201512,New York,4.7
201512,North Carolina,5.3
201512,North Dakota,2.8
201512,Ohio,4.6
201512,Oklahoma,4.0
201512,Oregon,5.2
201512,Pennsylvania,4.1
201401,Alabama,7.6
201401,Alaska,7.8
201401,Arizona,7.2
201401,Arkansas,7.5
201401,California,8.5
201401,Colorado,6.4
201401,Connecticut,7.5
201401,Delaware,6.6
201401,District of Columbia,8.1
201401,Florida,6.6
201401,Georgia,7.4
201401,Hawaii,4.7
201401,Idaho,6.2
201401,Illinois,8.9
201401,Indiana,6.6
201401,Iowa,5.3
201401,Kansas,5.2
201401,Kentucky,8.1
201401,Louisiana,5.7
201401,Maine,7.0
201401,Maryland,6.3
201401,Massachusetts,6.8
201401,Michigan,8.4
201401,Minnesota,5.5
201401,Mississippi,8.7
201401,Missouri,7.1
201401,Montana,6.1
201401,Nebraska,3.9
201401,Nevada,8.9
201401,New Hampshire,5.2
201401,New Jersey,7.6
201401,New Mexico,7.2
201401,New York,7.4
201401,North Carolina,6.9
201401,North Dakota,3.5
201401,Ohio,7.4
201401,Oklahoma,5.3
201401,Oregon,7.9
201401,Pennsylvania,6.9
201401,Rhode Island,9.9
201401,South Carolina,6.5
201401,South Dakota,4.2
201401,Tennessee,6.8
201401,Texas,5.7
201401,Utah,4.4
201401,Vermont,4.7
201401,Virginia,5.6
201401,Washington,7.0
201401,West Virginia,7.6
201401,Wisconsin,6.4
201401,Wyoming,5.2
201402,Alabama,7.8
201402,Alaska,8.0
201402,Arizona,6.9
201402,Arkansas,7.2
201402,California,8.4
201402,Colorado,6.3
201402,Connecticut,7.5
201402,Delaware,6.5
201402,District of Columbia,8.1
201402,Florida,6.6
201402,Georgia,7.5
201402,Hawaii,4.6
201402,Idaho,5.9
201402,Illinois,8.9
201402,Indiana,6.9
201402,Iowa,5.1
201402,Kansas,5.2
201402,Kentucky,8.4
201402,Louisiana,5.3
201402,Maine,7.1
201402,Maryland,6.3
201402,Massachusetts,6.5
201402,Michigan,8.5
201402,Minnesota,5.4
201402,Mississippi,8.2
201402,Missouri,7.7
201402,Montana,5.8
201402,Nebraska,3.8
201402,Nevada,8.6
201402,New Hampshire,5.1
201402,New Jersey,7.7
201402,New Mexico,7.0
201402,New York,7.5
201402,North Carolina,6.9
201402,North Dakota,3.4
201402,Ohio,7.2
201402,Oklahoma,5.2
201402,Oregon,8.0
201402,Pennsylvania,6.8
201402,Rhode Island,9.4
201402,South Carolina,6.4
201402,South Dakota,4.1
201402,Tennessee,6.9
201402,Texas,5.7
201402,Utah,4.5
201402,Vermont,4.3
201402,Virginia,5.7
201402,Washington,7.2
201402,West Virginia,8.1
201402,Wisconsin,6.8
201402,Wyoming,4.9
201403,Alabama,7.5
201403,Alaska,7.6
201403,Arizona,6.9
201403,Arkansas,6.6
201403,California,8.3
201403,Colorado,6.1
201403,Connecticut,7.3
201403,Delaware,6.2
201403,District of Columbia,7.8
201403,Florida,6.6
201403,Georgia,7.3
201403,Hawaii,4.4
201403,Idaho,5.7
201403,Illinois,8.2
201403,Indiana,6.6
201403,Iowa,4.8
201403,Kansas,5.0
201403,Kentucky,7.9
201403,Louisiana,5.6
201403,Maine,6.7
201403,Maryland,6.1
201403,Massachusetts,6.2
201403,Michigan,8.4
201403,Minnesota,5.3
201403,Mississippi,7.9
201403,Missouri,7.2
201403,Montana,5.7
201403,Nebraska,3.9
201403,Nevada,8.5
201403,New Hampshire,4.9
201403,New Jersey,7.4
201403,New Mexico,6.9
201403,New York,7.1
201403,North Carolina,6.7
201403,North Dakota,3.4
201403,Ohio,6.5
201403,Oklahoma,4.8
201403,Oregon,7.8
201403,Pennsylvania,6.6
201403,Rhode Island,9.0
201403,South Carolina,5.9
201403,South Dakota,4.1
201403,Tennessee,6.8
201403,Texas,5.4
201403,Utah,4.1
201403,Vermont,4.3
201403,Virginia,5.5
201403,Washington,6.7
201403,West Virginia,7.5
201403,Wisconsin,6.6
201403,Wyoming,4.7
201404,Alabama,6.2
201404,Alaska,7.2
201404,Arizona,6.3
201404,Arkansas,5.8
201404,California,7.3
201404,Colorado,5.4
201404,Connecticut,6.4
201404,Delaware,5.8
201404,District of Columbia,7.2
201404,Florida,6.0
201404,Georgia,6.7
201404,Hawaii,4.4
201404,Idaho,5.0
201404,Illinois,6.8
201404,Indiana,5.5
201404,Iowa,4.1
201404,Kansas,4.3
201404,Kentucky,6.5
201404,Louisiana,5.1
201404,Maine,6.2
201404,Maryland,5.5
201404,Massachusetts,5.5
